TransactionID,AccountID,Date,Amount,Type,Reference,Location
93,101,2025-03-11,8657.33,Deposit,713b120e-813d-4145-874c-f8f27687815b,Russellbury
94,76,2024-04-03,63.75,Deposit,6025f044-3d05-4b6f-9707-3a77b2edfa93,East Melissaport
95,112,2023-11-25,4520.09,Withdrawal,a8593cd2-379a-4f11-9367-63cc3dede813,Dunnview
96,22,2022-07-09,8552.43,Deposit,f58c0315-7747-480a-9be2-3e13748a0d51,Cohenland
97,45,2024-09-05,3442.27,Deposit,babd0abd-932e-4445-a180-dd13f5d5c885,Port Anthonyville
98,143,2025-01-15,1861.5,Withdrawal,5002540f-3b4d-4da6-9ce7-a677f82cc5b4,East Megantown
99,4,2024-12-12,556.73,Withdrawal,d9d4ccf9-f126-43ac-81dd-0c4b0e0e24bb,New John
100,95,2022-12-28,4771.53,Deposit,bd1db0d0-25c6-4b6f-a008-c4ef4f2b4852,Ryanport
101,70,2022-04-22,5600.35,Deposit,f25cb371-40ea-4b8c-a0ba-a5560be9d305,South Emma
102,105,2022-06-04,1626.15,Deposit,08675810-6f26-4f9c-8fee-b45cd998b303,Whitemouth
103,76,2024-11-28,6167.75,Withdrawal,c4b38373-40af-4479-a750-b155c7751fc2,Deborahchester
104,50,2023-09-26,8299.1,Withdrawal,cc97345f-9c93-43d1-981b-ebca5c1c8c77,Maryport
105,142,2024-02-25,3451.34,Deposit,b9bcf126-6444-4663-b186-2b1f7906290d,Rodriguezshire
106,91,2024-09-07,4520.05,Withdrawal,aec16473-971b-4fc1-a071-110620baa71b,Stevenville
107,37,2022-01-21,6568.53,Withdrawal,b45c17e3-e5b3-4da8-82bf-774bd0f3dc39,Maldonadobury
108,41,2023-04-10,7852.01,Withdrawal,c9cc8bce-5a19-440c-a2d3-63aed3d72905,Lawsonmouth
109,110,2025-03-13,2589.87,Withdrawal,c7536818-00eb-4be5-820d-8b4b297d93d9,Houstonburgh
110,125,2025-02-23,8990.05,Deposit,7b74903c-113b-4bfc-917e-d78a3df1cef7,East Douglasborough
111,126,2022-11-30,6187.37,Withdrawal,b15f39a1-431f-4210-8352-b21966b6b477,East John
112,104,2023-01-20,6678.09,Deposit,875d77fc-ef5d-4301-9fa9-5b1020f2ed1d,East Tony
113,145,2023-10-14,49.95,Withdrawal,ca421995-62f6-470d-91ec-45c8cde9b210,Alexismouth
114,149,2022-03-02,951.27,Deposit,bfb4a02a-b325-45ce-800e-c239468509f0,Port Annafort
115,69,2024-12-12,3098.25,Deposit,8c9c2ec5-3c45-4f8f-8cc4-e9a20816441a,West Mercedes
116,96,2023-01-07,2303.66,Withdrawal,8d4aa778-7977-48a6-bb86-432d3b890a9e,Amberstad
117,124,2023-01-02,7239.94,Deposit,ccd3db11-e621-420c-966f-f356bfe371d1,Beasleyburgh
118,8,2022-06-16,912.67,Withdrawal,83e6a1b5-25a6-4143-8704-584541dd0cc5,Lake Jenniferborough
119,14,2024-07-31,6337.06,Deposit,7866f8a3-1773-4f8b-b080-782a77a50ac9,Lake Candacemouth
120,43,2024-09-27,6238.7,Deposit,68901d0c-1bf0-45f9-a1c2-70417e9c4744,South Jamesland
121,147,2023-03-02,8518.31,Withdrawal,f8cbcf66-5724-48f9-8b06-13bc2eb324c5,Clarkview
122,141,2023-12-30,7583.64,Deposit,c463442f-8e5c-487b-9bd2-2f22ca001ed7,West Alicia
123,39,2024-12-15,4085.05,Withdrawal,33630361-0bcd-4fbc-a330-27116cde97b2,Port James
124,69,2024-08-22,7688.03,Withdrawal,6c955331-9684-4d1b-bbd8-7f1593ab2ba8,Jeffreyshire
125,14,2022-08-12,6807.4,Deposit,769ff0d5-3c3c-43fc-a1a6-8fbe77489fb5,Sandraview
126,104,2024-06-15,3870.5,Withdrawal,37560d1a-1000-4a4c-97dc-edf16e42f82c,Solisstad
127,53,2022-09-27,1486.39,Withdrawal,bba91ec9-e3a9-45de-a7e7-48bb3ae0f4f5,Brendaburgh
128,13,2023-09-28,9338.99,Deposit,b6f2da4f-77e8-4444-b783-add4a4570904,Melissaborough
129,94,2023-09-14,6956.46,Deposit,4bc96962-c319-48ed-b8bd-fc300c2680bb,Bellfort
130,149,2023-06-30,374.21,Withdrawal,bdd264e8-f699-4815-9a4f-ac6ba0e1bc34,Smithmouth
131,42,2023-10-27,1396.45,Deposit,f2b2e9d7-7514-45c3-a786-0d488fe405e1,Millerhaven
132,65,2025-04-25,5191.66,Withdrawal,ce0c2c9d-1c8c-4c9d-90cd-3c0766ff16f5,Catherineton
133,90,2025-01-22,7507.78,Withdrawal,27692a60-ed29-4771-afd0-0b9e7efef9db,South Diane
134,9,2022-01-12,6472.55,Deposit,af816d74-4e8f-4d15-9d52-b585e7378660,East Caseyville
135,65,2022-03-02,9985.09,Withdrawal,60b738cd-a6fc-40a8-99dd-94b7a6a57609,Murphyberg
136,52,2023-09-04,3927.77,Deposit,2a58807d-2f9a-485e-9f34-8c14e0715964,Christophermouth
137,150,2022-03-03,3397.31,Deposit,82d83ab5-c535-40a5-b30e-e4d43d26361a,Eugenestad
138,7,2022-09-12,2757.32,Deposit,28bace68-8210-4662-b957-e0d39f73e87c,East Leslietown
139,53,2024-06-07,8534.21,Deposit,ced60fc7-eb95-43f9-9e6c-7841f151e0c5,West Derrickbury
140,106,2024-10-31,8615.55,Deposit,7c226299-53c8-446f-a161-dfd29a313843,Campbellchester
141,125,2024-01-12,353.14,Deposit,0bc0e422-6e44-4a72-93ca-69e2d385d587,Pettyfort
142,63,2023-07-22,5715.25,Withdrawal,a2e390a2-e37a-40fa-8d03-b2aea8437aa6,West Tiffanyburgh
143,32,2025-03-11,8834.9,Deposit,9a3c6702-1809-4987-a4f2-7aada56fd225,Sydneyside
144,57,2022-10-26,6271.19,Deposit,80cacb3b-c886-42ed-a118-f850ced7e5bc,New Jennyview
145,124,2024-10-07,6209.07,Withdrawal,41869b7e-3ac1-4c1c-bb1d-b75870263695,Colemanton
146,14,2023-12-24,9783.36,Deposit,a0118d8b-37a4-41fb-9662-f5ac28deaf5d,Schultzchester
147,76,2024-06-23,6117.37,Deposit,c1fbe7a6-da81-4e35-bebf-fe51cfbc9485,Sandraburgh
148,141,2022-06-25,2263.51,Withdrawal,8a896d01-8981-41e0-9adc-c7017df2b859,West Rachel
149,123,2022-12-28,963.47,Deposit,73ed232f-b8ba-4699-a9e6-4e07e33e9b92,Singhbury
150,137,2022-09-12,1823.62,Withdrawal,e4312a8b-af5c-42ba-b49c-f0102bef5270,Sarahburgh
151,19,2024-10-02,6495.49,Deposit,08843b4e-b79d-43b0-b801-752eb4006240,Matthewborough
152,140,2024-08-14,1925.43,Deposit,67d773a1-75d2-4e89-bde3-788357ae0ef9,Ryanstad
153,5,2022-12-18,2299.03,Withdrawal,1284e418-b68d-4c47-b501-bdcd0cc1ac2a,North Tanya
154,22,2024-05-02,1974.13,Withdrawal,386e7bfb-85ce-4f46-9e9a-824b6aee9be4,New Jenniferfurt
155,150,2022-01-23,9000.52,Withdrawal,292bbd55-0ba5-4261-a31e-49075e46f329,Downston
156,120,2024-01-27,9938.23,Deposit,caaefccc-f94c-48ff-8ced-8f423d8e263d,West Paulbury
157,35,2024-09-16,1100.04,Deposit,57ca01cf-9150-4d5a-86cc-73ddf331e8f0,Hubbardton
158,99,2024-08-12,6147.48,Withdrawal,464e6aa1-76ef-4cbf-8c8d-586b8357de48,Wallsside
159,104,2024-05-15,7873.69,Withdrawal,0eca28e3-e204-4795-8e01-8b8bcbb6a9ea,Rogershaven
160,84,2022-07-17,7094.24,Deposit,781b4960-3350-4d48-9d0e-711a5ef7ca3e,Port Williamchester
161,79,2024-12-24,8893.98,Withdrawal,0b93259b-47b8-4606-b1c7-6701bade6f71,North Sandra
162,4,2022-02-17,4754.03,Deposit,afb5f29c-fbe4-4d43-9c41-5ee610746142,North Carolburgh
163,124,2024-08-23,6294.31,Deposit,edb8bbe9-9410-4afd-8e5a-2411e9e32873,Port Vicki
164,91,2022-05-30,6629.96,Deposit,b2bdc0eb-f0bd-49bc-aa00-e2bccc0f5387,Duranfort
165,88,2025-03-01,6401.15,Deposit,a9ddbb53-c807-4345-ad9b-0e16c63f9b1f,Juliehaven
166,45,2024-09-13,5289.86,Withdrawal,9b506af5-4239-45d5-8403-b028828d243b,West Brittanymouth
167,146,2024-10-17,5080.29,Deposit,585fd877-ef04-4a1b-9ef4-9834df4276c8,Port Karen
168,140,2022-11-12,3270.33,Deposit,4bb98fee-f544-4454-b6d6-1c1297c6b92c,New John
169,60,2024-04-07,7321.8,Deposit,e0930698-a566-47c5-a56c-6f647fcd00ee,Port Michaelberg
170,91,2023-07-23,5508.6,Deposit,13862f64-95db-4e83-b8bf-5a4ffef8a93a,South Michaelhaven
171,90,2023-08-09,7588.75,Deposit,ac2e2ffc-f0dc-4c2a-adb1-e6f6c0f958e6,South Stephenhaven
172,136,2023-08-08,4643.8,Deposit,7e6430c6-202f-4f14-975c-3864508a6e30,East Ashley
173,105,2022-10-26,9459.49,Withdrawal,8feda80f-f470-4cde-b94b-48ac71fbc09c,Lake Robinhaven
174,65,2023-09-10,1297.37,Deposit,94c71e69-d9f3-4624-94c6-c4eb50ec1afd,Lake Marytown
175,50,2022-01-19,663.51,Deposit,8855727d-b4a1-43e9-8eb7-6073e4e18a4d,South Karenfort
176,59,2022-09-30,3955.95,Deposit,e7795764-16ad-4e59-bc4a-67f6f86e578b,Laurenland
177,99,2023-10-14,9736.87,Withdrawal,8ac96105-0fbb-4a16-b71c-72108bf4411e,Jacobsville
178,105,2023-07-21,3862.17,Deposit,743b6372-563b-4dee-b34a-ba57622519b0,North Louis
179,133,2025-01-18,3601.43,Withdrawal,8faefa99-4e10-4cde-8998-1fd2ce442278,Kimberlyport
180,87,2022-02-07,8707.26,Withdrawal,bf1fc7c7-8365-45bd-b2ba-913b5bf9b6a3,New Tonyabury
181,7,2022-08-11,6509.37,Withdrawal,43eaf11a-eea5-4272-a37e-ec68f95dde8c,Salinasfort
182,58,2023-12-09,3230.25,Withdrawal,56913bd1-146e-453e-b517-621fc7e9a2ce,Vanessaville
183,21,2024-11-12,8692.62,Deposit,624dcb63-2ae1-46c9-bf38-000a966b8c0b,Schmidtfort
184,10,2024-05-26,9142.4,Deposit,6ae59f4e-6d54-4a52-b679-bab099be21dc,Lake Johnland
185,39,2024-01-12,4818.93,Withdrawal,e758f5e8-e3a6-4284-9251-fd52dc2e7aee,South Teresa
186,120,2022-11-03,8816.58,Deposit,16e5426e-5b32-4de8-895c-2b72775c32f3,Port Karen
187,2,2022-04-14,1383.23,Withdrawal,3a310f1d-9501-4b90-8d10-83c157ba9396,West Jamiefort
188,43,2024-07-27,124.34,Deposit,f5d8296c-39f1-405c-b65d-806f47f10105,New Hannah
189,28,2023-09-07,5839.37,Deposit,91455f9e-7474-4c16-b306-ffd4f8acd56b,South Dustinfurt
190,20,2023-07-19,6979.11,Withdrawal,a3304293-9e1b-45f5-acb8-4d8a50685813,North Joseph
191,104,2024-04-04,7229.53,Deposit,e530e70e-e3d6-4c84-aa25-69b1d5f682cc,South Hollyville
192,4,2022-05-13,474.37,Deposit,deabcd53-62de-4946-88c8-0d86785c1830,Lake Jose
193,88,2023-12-16,8775.82,Deposit,905aa62f-9b22-4273-a2b3-163834a558ac,Annaton
194,20,2024-11-07,4038.41,Deposit,a3eae9fe-89fa-41be-b40d-a168371ff720,South Leslieberg
195,90,2022-12-21,7889.5,Withdrawal,4a2d6f20-157f-415b-a80b-890a200f4cac,Hopkinsland
196,70,2022-08-02,4942.42,Withdrawal,f1f5364d-f7d4-4b67-8898-d07a53b435d8,Smithchester
197,31,2024-02-27,5672.26,Deposit,817d011b-a639-4322-a13d-dc9ca03cb6c0,North Paulfort
198,138,2024-12-13,7741.84,Withdrawal,a80ae7e6-7b82-40c5-9a0d-5dedf9f4ba23,West Lisa
199,39,2023-01-20,9150.9,Withdrawal,994ee52a-0581-4dff-b5fc-54cc7d509031,Trujillohaven
200,99,2023-09-29,3195.01,Withdrawal,69623677-2b94-4a0a-9771-630df490701c,Peckbury
201,18,2025-02-23,3837.23,Withdrawal,d4493ac2-1b44-47b9-8de1-eab9902aa7cd,Lake Paula
202,102,2022-10-11,7044.67,Withdrawal,5f87bff2-f971-4ae1-9fd8-3d8394bcf0bd,Josephstad
203,30,2024-10-30,2132.98,Withdrawal,25489b39-a9cc-4075-b630-c7c744ba9b26,New Andrew
204,2,2023-02-27,727.7,Withdrawal,b5efdc5e-45dd-43e0-8d75-0511be186cf6,West Alexander
205,130,2023-12-09,9282.01,Withdrawal,ffc458b2-d1d2-49cf-bca7-f1ea49cfd513,North Megan
206,96,2022-06-13,6059.91,Deposit,c707588a-4d91-40e1-aa5f-83634337d3af,Lake Stephanie
207,44,2022-11-02,6862.51,Deposit,3bc472a7-ec3f-4bed-95fe-4327cbf40ef4,Johnsonburgh
208,30,2023-11-13,9941.22,Deposit,7f1f570b-f913-4da0-805e-f42c56df1c3f,Justinview
209,39,2022-03-29,1598.93,Deposit,9cafc8e6-1c05-4eb6-b328-1c6bd270cbba,Tinachester
210,26,2023-12-17,3547.81,Deposit,ff1dfaa2-fb12-46c3-9899-a7c3966371cb,South Shaneport
211,103,2024-08-02,3538.17,Withdrawal,58f42040-1409-4293-858c-0f2ed6f323ca,New Larrytown
212,58,2025-01-28,3313.67,Withdrawal,44043992-e13f-4c80-95ca-3b96be6494fd,East Paultown
213,97,2024-01-13,8287.92,Withdrawal,8c73c5f3-aea6-4316-9c5b-457c7d3beca9,East Michaelbury
214,68,2022-05-11,716.53,Withdrawal,261c9b51-b60a-4e78-a2ed-6490792b90e9,Barbaraburgh
215,108,2024-09-02,5784.38,Withdrawal,358bc0d6-9ca2-41af-83d2-28b50d2964b4,Lowerychester
216,15,2023-07-27,1971.56,Deposit,8f00bf03-0726-46fc-88da-eb5a062fb7e2,Michaelport
217,54,2023-12-29,2176.23,Withdrawal,0c847705-4059-4eb6-90c6-69495ac95cfd,Port Danielstad
218,75,2023-05-25,4978.03,Deposit,91fb8095-092b-449b-9660-f91fc72c75f5,Lake Maryside
219,26,2024-07-31,5025.2,Withdrawal,ee0333af-dc4e-44df-a54e-6a6e1ab17c97,East Amberland
220,96,2024-07-08,8608.66,Deposit,61db20db-66a7-40ec-a68b-5d183faa8cdb,Lake Nicolas
221,54,2024-05-08,5992.01,Withdrawal,8b5f5055-03a7-417b-a5a0-e115538932b7,Taraberg
222,138,2022-12-17,5693.89,Withdrawal,0745956b-a8ab-4bef-9bbc-b4b2af882339,Sandrabury
223,135,2025-04-17,534.41,Deposit,b9031674-0d29-4084-92a5-21d271f37f50,East Kristen
224,12,2022-11-22,2728.36,Withdrawal,411a2f7e-b2c5-4507-8079-08a76990e560,North Geraldton
225,33,2023-03-11,9115.94,Withdrawal,fcaadca3-1240-46be-83aa-6e302a2112a9,Benitezshire
226,148,2024-07-22,1126.72,Withdrawal,9811d6ae-eabd-4b2b-8465-74f36005405f,East Elizabeth
227,30,2022-10-05,9112.01,Withdrawal,9c910522-7c0a-4dd3-b701-f08803d304a5,Meganburgh
228,54,2023-12-14,1369.04,Withdrawal,942c0288-f0fe-4d16-9f5a-10c5781f6712,Anthonyshire
229,86,2022-05-07,8367.99,Deposit,04350d6a-7d85-4bc6-8b4c-15a8c16e4614,Susanfurt
230,27,2023-07-25,8886.61,Deposit,c574ab57-98e6-4872-a8ec-f833bcffb336,New John
231,1,2023-10-27,8164.7,Deposit,92ea04ca-662f-4e2a-98d5-aad0ae7ca5c9,East Rebecca
232,97,2024-10-21,1272.67,Withdrawal,2b79ce65-224a-46ab-b36e-b0736af43e51,Lake Gabriella
233,9,2025-03-13,2066.63,Deposit,4cc4bede-9af7-4b9d-85b6-86e384cab540,Judychester
234,100,2023-02-13,5693.48,Deposit,f5749831-3683-4b28-a4b6-f377b436f602,Calderonhaven
235,120,2025-03-30,635.16,Deposit,034bc8ca-9951-4643-b46f-507b2993cb76,New Juanland
236,6,2024-08-12,8966.05,Withdrawal,11f55941-07a2-4fdf-abb2-3fac22321512,Robertborough
237,7,2022-11-17,521.85,Deposit,b54ba9ff-fa15-4551-8f04-88129ced0879,Vargasburgh
238,95,2024-04-17,1495.29,Deposit,f20d9516-783d-4e1a-bdf9-0d228b5f2845,North Staceymouth
239,69,2024-11-04,1682.87,Deposit,04367205-7d20-4a47-9126-d0a7f4720089,West Andrew
240,17,2023-10-03,4968.91,Withdrawal,a76e828a-3f3f-45d6-9a27-248cbf619cae,Lake Clayton
241,80,2023-02-24,462.56,Withdrawal,2baf0e87-3c01-4c3e-9de8-852c7cb8130c,Cookfurt
242,69,2022-03-24,2633.16,Deposit,1d83802c-20dd-4be2-9b71-01d3bbdac5af,New Bryanfort
243,127,2022-05-07,1179.1,Deposit,1f15dc8e-d5d2-4c66-a300-d7c11cffa08a,New Kristine
244,30,2023-05-12,8814.82,Withdrawal,0d3345a6-534e-47ae-ac6a-430eb71e4a29,Pamelaburgh
245,76,2024-07-08,412.65,Withdrawal,7e7b1ffa-372d-4a85-aa97-2e674f726630,South Shannon
246,31,2024-06-02,8498.82,Withdrawal,e061cacf-413f-48b6-a294-ce69dec32fd3,Perkinsburgh
247,140,2022-11-16,1371.61,Withdrawal,fc949277-23fc-4850-bab1-136e6f5ced3b,South Kristinashire
248,23,2024-12-02,2205.69,Withdrawal,f6253049-45a6-421b-849f-02e91c34f651,East Richardbury
249,24,2024-01-10,582.29,Deposit,24572ad7-efcc-4561-a1bf-b81f144168e8,Lauramouth
